0   759	860	793	833	869	914	989	1004	1018	923	991 1101    1138	1192	1129	1263	1221	1337	1567	1514	1311	1576	1493	1442	1621	1924	1749	1902	1945

1	65	54	47	47	60	80	78	74	83	79	73	109	133	139	131	133	139	151	178	185	133	109	168	205	210	231	254	242	228	

4	8	4	4	5	3	3	4	3	5	4	3	5	4	3	5	6	12	28	35	44	50	51	59	66	83	76	87	63	100	

5	60	86	98	81	109	81	98	105	126	143	114	123	113	94	122	123	146	138	165	131	144	140	167	139	144	147	169	175	198	

6	97	110	119	115	108	101	93	85	80	80	81	82	106	106	113	103	109	103	106	102	112	120	119	121	124	128	134	129	134	

10	7	6	5	3	4	2	18	0   23	6	18	18	30	15	28	30	25	22	39	30	20	37	43	22	39	32	29	39	49

11	34	32	30	27	37	38	32	37	31	30	43	48	51	46	49	40	35	49	59	48	59	56	37	37	52	51	53	57	78	

13	17	22	19	18	17	15	23	32	33	27	35	38	55	46	52	50	51	52	55	49	51	49	48	59	60	59	62	68	56	

15	39	49	41	43	48	72	87	93	83	74	76	62	77	83	62	60	62	70	73	70	65	56	60	65	66	73	78	85	71	

18	42	41	45	48	55	54	59	53	45	52	57	60	53	47	52	46	49	57	48	52	64	68	72	58	48	51	72	74	74	

19	55	60	64	63	54	67	73	65	51	70	74	62	54	68	63	67	73	82	83	88	78	93	96	74	75	77	94	66	71	

21	18	14	18	16	15	17	22	20	22	27	29	28	30	33	26	30	31	28	32	36	30	30	28	23	21	19	17	17	15	

22	13	11	7	6	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9	6	24	10	27	32	

24	61	58	51	60	67	82	94	80	74	58	58	55	57	54	40	50	59	64	66	82	58	64	50	52	74	77	62	46	43	

25	5	2	2	2	2	2	1	3	2	2	9	13	13	15	15	21	21	16	35	20	24	32	15	30	23	19	25	25	30	

38	29	16	18	12	17	10	21	5	15	5	17	10	13	9	12	13	12	22	10	24	16	32	18	20	13	32	18	22	29	

39	10	6	4	3	3	3	3	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	2	3	3	2	

43	7	6	4	3	2	2	2	2	2	2	3	2	3	5	3	3	5	4	4	4	7	6	8	6	12	6	9	12	12	

45	20	22	27	50	37	24	35	38	39	46	39	24	22	33	37	33	30	30	37	41	38	37	46	39	42	39	31	36	40	

47	9	5	4	3	3	3	2	3	6	5	4	4	4	5	4	2	12	13	11	11	7	15	8	8	11	8	19	13	18	

50	16	19	13	12	15	11	8   18	12	12	15	14	14	16	16	13	15	13	15	12	13	10	10	15	14	12	11	15	14

52	17	15	11	9	9	9	9	10	10	13	11	16	16	16	18	14	19	18	19	19	18	20	17	17	19	16	20	18	19	

57	4	3	3	3	2	1	1	1	1	1	1	1	2	1	1	5	5	4	3	6	10	7	9	7	11	24	23	15	11	

73	9	7	6	5	6	5	4	5	9	11	7	5	6	4	9	11	10	6	10	11	19	17	17	14	29	21	29	27	32	

75	20	24	27	27	28	26	33	31	35	35	35	30	20	24	28	31	29	29	30	27	30	35	29	33	25	29	27	34	36	

76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	4	3	

77	7	5	6	8	4	3	4	5	4	4	4	5	8	6	4	7	9	6	9	7	6	6	9	9	5	7	10	14	11	

82	13	11	11	9	9	8	8	10	10	8	9	8	11	12	9	15	10	12	18	15	14	14	15	15	20	20	16	21	18	

84	2	2	2	1	1	2	3	1	6	3	0	4	3	4	5	2	4	8	7	8	7	7	7	5	12	10	10	12	10	

87	6	5	4	3	3	3	3	3	3	4	4	4	5	6	5	6	6	6	7	6	8	9	12	10	10	12	13	13	13	

88	9	8	7	7	8	6	6	7	8	8	4	6	7	7	6	7	6	6	5	6	9	8	8	7	5	9	8	11	8	

89	2	2	3	1	2	2	1	5	4	4	3	4	6	9	4	4	5	5	8	14	7	15	15	17	18	15	12	21	19	

104	4	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	1	2	2	5	5	4	3	

105	2	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	2	1	1	2	2	3	2	5	3	

107	6	7	7	10	11	7	7	7	11	12	16	11	15	10	9	12	15	15	17	10	8	13	15	16	15	12	15	17	13	

109	8	10	10	6	8	9	5	10	13	4	6	9	5	10	8	7	4	3	10	10	8	6	14	6	7	20	9	10	15	

121	4	2	2	4	4	5	4	6	4	4	4	3	5	3	2	5	4	4	6	5	7	9	9	7	7	8	6	11	12	

122	4	2	2	2	3	3	4	6	7	8	5	15	16	13	21	18	18	19	30	22	18	28	25	22	22	30	18	22	28	

125	10	7	6	7	6	5	5	5	4	5	5	8	5	5	9	6	7	9	13	9	9	15	8	9	12	8	8	12	9	

129	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

136	3	1	1	1	1	2	2	2	2	3	3	3	3	5	7	5	4	4	5	6	6	4	4	3	4	10	10	11	14	

138	4	4	3	5	6	7	5	6	4	5	3	5	4	5	5	3	4	6	6	7	6	6	4	4	6	6	7	10	9	

139	19	14	15	12	17	13	17	13	13	15	11	16	10	15	13	12	12	15	14	14	16	17	18	14	12	12	14	13	9	

150	3	2	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	3	3	5	5	5	4	5	4	3	

153	12	12	12	9	10	10	11	9	11	9	9	9	11	11	5	5	6	12	9	9	11	9	9	8	10	10	11	11	11	

156	7	6	5	4	6	9	11	13	12	10	12	9	10	7	9	9	9	8	13	13	16	18	18	22	20	19	18	15	17	

158	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

163	15	15	17	16	15	16	17	16	15	12	13	13	17	21	20	18	20	23	26	23	21	19	21	25	24	21	23	23	24	

167	7	9	8	8	5	6	6	5	7	6	6	7	6	4	5	5	4	4	5	5	6	6	7	7	7	6	8	8	9	

170	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

181	5	5	4	4	3	3	3	4	3	3	4	3	4	4	3	4	5	6	8	8	8	10	12	9	11	10	11	10	10	

196	4	4	4	2	2	3	2	2	4	0	1	2	3	4	2	3	1	2	4	5	3	4	4	2	5	6	8	5	6	

216	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

223	5	4	6	12	11	7	4	10	9	11	9	15	14	15	15	17	20	15	17	15	21	15	13	11	12	12	15	15	17	

235	3	1	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	1	0	1	1	0	1	1	2	0	1	1	1	

237	2	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	2	3	4	3	3	2	2	2	4	5	7	6	

238	3	3	2	1	1	1	1	1	1	0	2	1	2	2	2	2	3	2	3	4	3	3	3	5	3	1	4	3	3	

